name,risk,lat,lon
FORMER CABRA PRIMARY SCHOOL,High,54.35028,-6.652792
TANDRAGEE CASTLE,High,54.35028,-6.652792
25 MAIN STREET,High,54.33988,-6.546354
29 GOSFORD ROAD,High,54.301902,-6.521238
LISNAGAT HOUSE,High,54.35028,-6.652792
MAYDOWN HOUSE,High,54.35028,-6.652792
KNAPPA VALE,High,54.35028,-6.652792
MANOR HOUSE SPECIAL CARE HOSPITAL,High,54.35028,-6.652792
MCCRUM INSTITUTE (BALLROOM& REAR BLOCK),High,54.35028,-6.652792
151 THE ROCK ROAD BALLYNAHONE BEG ARMAGH BT60 3NR ARMAGH,High,54.32865,-6.669911
LLIMAH,High,54.35028,-6.652792
DRUMCONWELL COTTAGE,High,54.305467,-6.659695
55 UPPER ENGLISH STREET,High,54.349984,-6.655231
GREEN GATE LODGE,High,54.174251,-6.339199
ST JOHN'S C OF I CHURCH,High,54.174251,-6.339199
HILLTOWN LODGE,High,54.196046,-6.138539
HOUSE YARD AT CABRA HOUSE,High,,
CLOGHOGUE LODGE,High,54.174251,-6.339199
4 DROMANTINE ROAD,High,54.174251,-6.339199
63 CANAL STREET,High,54.180468,-6.33921
65 CANAL STREET,High,54.180553,-6.339461
GLEBE HOUSE,High,54.174251,-6.339199
GILFORD MILL,High,54.377736,-6.365228
170 HUNTLY ROAD MILLTOWN BANBRIDGE COUNTY DOWN BT32 3BJ BANBRIDGE,High,54.356072,-6.279591
172 HUNTLY ROAD MILLTOWN BANBRIDGE COUNTY DOWN BT32 3BJ BANBRIDGE,High,54.356072,-6.279591
14 MAIN STREET,High,54.348729,-6.27048
FORMER RUC STATION,High,54.348729,-6.27048
GATE LODGES TO BROOKFIELD,High,54.348729,-6.27048
BALLOLEY COTTAGE,High,54.339099,-6.171931
47A KILMACREW ROAD,High,54.348729,-6.27048
24 MEETING STREET,High,54.413121,-6.148791
JOHN MARTIN MONUMENT,High,54.40926,-5.6636
FORMER MARKET HOUSE,High,54.327699,-5.715767
LECTURE HALL (FORMER SCHOOLHOUSE),High,54.327699,-5.715767
ROSSCONOR HOUSE,High,54.327699,-5.715767
4 KILDARE STREET,High,54.259311,-5.607325
6 KILDARE STREET,High,54.25898,-5.606883
DOWNPATRICK GATE LODGE,High,54.327699,-5.715767
199 NEWCASTLE ROAD,High,54.340835,-5.841505
9 ENGLISH STREET,High,54.32855,-5.719157
20 SCROGGY ROAD,High,54.516246,-6.058011
6 LISBURN ROAD,High,54.516246,-6.058011
4 GLEN ROAD BALLYNALARGY LISBURN CO. ANTRIM BT27 5JR LISBURN,High,54.509332,-5.985219
TURNPIKE COTTAGE,High,54.516246,-6.058011
THE HOWE 16 HOWE ROAD BALLYKEEL DROMORE COUNTY DOWN BT25 1ET LISBURN,High,54.516246,-6.058011
PORTIONS OF BARBOUR CAMPBELL THREADS LTD.,High,54.516246,-6.058011
RECTORY,High,54.516246,-6.058011
LAVERTY'S PUB,High,54.719534,-6.20725
THE FORGE JOHN STREET RANDALSTOWN,High,54.74919,-6.319856
ANTRIM CASTLE GATEHOUSE MARKET SQUARE,High,54.715227,-6.221574
892 ANTRIM ROAD,High,54.703881,-6.093281
STEPHENSON MAUSOLEUM,High,54.685279,-5.964502
OLD BAWN,High,54.685279,-5.964502
CRAIGOWEN LODGE,High,54.327699,-5.715767
ST. COLUMBANUS,High,54.327699,-5.715767
CULTRA STATION HOUSE,High,54.327699,-5.715767
1 STEWART'S PLACE,High,54.642973,-5.832965
22-24 FERRY STREET PORTAFERRY ,High,54.380405,-5.547791
7 HIGH STREET,High,54.382772,-5.543363
2-4 CHURCH STREET PORTAFERRY,High,54.382123,-5.547255
19 HIGH STREET ,High,54.641761,-5.536613
146 PORTAFERRY ROAD,High,,
FARM YARD,High,,
PUMP HOUSE,High,54.614376,-5.901718
RUPERT STANLEY COLLEGE,High,54.59609,-5.90166
ST MATTHIAS' RC CHURCH,High,54.578243,-6.006471
127 ORMEAU ROAD,High,54.586832,-5.923562
129 ORMEAU ROAD,High,54.586734,-5.923905
131 ORMEAU ROAD,High,54.586695,-5.9235
7 LOWER CRESCENT,High,54.587711,-5.934063
14 UPPER CRESCENT,High,54.587147,-5.934044
15 UPPER CRESCENT,High,54.587177,-5.933791
95 LISBURN ROAD,High,54.58506,-5.940963
EWART HOUSE,High,54.593688,-5.931122
RIDDEL’S BUILDING,High,54.599334,-5.924599
ST JOSEPH'S RC PAROCHIAL HOUSE,High,54.607627,-5.919565
76-88 ROYAL AVENUE AND 104 NORTH STREET,High,54.602104,-5.931569
27-37 TALBOT STREET,High,54.602621,-5.927668
NORTH STREET ARCADE,High,54.601324,-5.932023
FLORAL HALL,High,54.597285,-5.93012
CORNSTORE,High,54.327699,-5.715767
MILL (CHARLEY'S BLEACHWORKS),High,54.516246,-6.058011
121 DRUMHILLERY ROAD,High,54.35028,-6.652792
MILLBROOK MILL 350 LONGLAND ROAD,High,54.996612,-7.308575
STABLES AT BOOMHALL,High,54.996612,-7.308575
SOUTH GATE LODGE,High,54.991538,-7.268136
DAIRY BUILDING,High,54.996612,-7.308575
OUTBUILDINGS,High,54.959754,-7.357471
GLASVEY HOUSE,High,55.045456,-6.933676
SAMPSON’S MEMORIAL TOWER,High,55.045456,-6.933676
77 BOLEA ROAD,High,55.06434,-6.908239
1 THE DIAMOND,High,55.182596,-6.717572
3 THE DIAMOND,High,55.182504,-6.717622
'ANTRIM HOUSE' 73 MAIN STREET,High,54.982892,-6.687645
65 MAIN STREET,High,55.205364,-6.523259
MARKET YARD,High,,
MANOR HOUSE HOME,High,55.201988,-6.238487
BROCKLEY HOUSE,High,,
BROCKLEY COTTAGE,High,55.298891,-6.18989
ST JOHN’S SCHOOL,High,54.851132,-5.800048
LIME KILN,High,54.993191,-5.990137
6 ALTMORE STREET,High,54.965858,-5.953406
STABLES AT CAIRNDHU,High,54.8578,-5.823622
LODGE AT HILLMOUNT,High,54.877724,-5.839276
MILL AT RED HALL,High,54.8578,-5.823622
GARDEN TURRET AT RED HALL,High,54.8578,-5.823622
WALLED GARDEN AT,High,54.8578,-5.823622
LIME KILNS GREENLAND ROAD,High,54.860019,-5.820892
8 BOYNE ROW,High,54.879135,-6.642025
12 BOYNE ROW,High,54.879135,-6.642025
89 TIRKANE ROAD,High,54.846185,-6.695783
OLD COURT HOUSE,High,54.593572,-6.923028
ROSSMORE GATES & LODGE LISSAN HOUSE DEMESNE DRUMGRASS ROAD COOKSTOWN BT80 9SW COOKSTOWN,High,,
MOREE HOUSE 19 OUGHTERARD ROAD DUNGANNON,High,54.582131,-6.854063
23/25 HIGH STREET MONEYMORE MAGHERAFELT CO LONDONDERRY BT45 7PA COOKSTOWN,High,54.691838,-6.670298
GATE LODGE,High,54.624016,-6.678975
3 MOYLE ROAD,High,54.715311,-7.37543
ZION HOUSE,High,54.785798,-7.472166
MILLER'S CORNMILL,High,54.827387,-7.46331
MCELGUNN’S COTTAGE,High,54.343829,-7.631873
COTTAGE,High,54.325096,-7.487465
RAILWAY WATCH HOUSE,High,54.343829,-7.631873
HOUSE SANDHOLES NEWTOWNBUTLER CO FERMANAGH BT92 8LW FERMANAGH,High,54.343829,-7.631873
COLEBROOK GATELODGE FERMANAGH,High,54.343829,-7.631873
MCBRIEN’S,High,54.343829,-7.631873
CORN MILL LEGINN DERRYLIN ENNISKILLEN CO.FERMANAGH FERMANAGH,High,54.343829,-7.631873
GATE LODGE TO KINAWLEY RECTORY,High,54.343829,-7.631873
COLEMAN’S,High,54.343829,-7.631873
68 BOHO ROAD,High,54.343829,-7.631873
146 BROLLAGH ROAD,High,54.343829,-7.631873
GATE LODGE,High,54.343829,-7.631873
THE HARP AND CROWN 37 DARLING ST. ENNISKILLEN,High,54.343829,-7.631873
FIRST TRUST BANK,High,54.539307,-6.704463
LEVEL-CROSSING KEEPER'S HOUSE,High,54.508273,-6.766935
LEVEL-CROSSING KEEPER'S HOUSE,High,54.508273,-6.766935
EAST GATE LODGE ST JOSEPH'S CONVENT,High,54.508273,-6.766935
DRUMGLASS HOUSE,High,54.508273,-6.766935
LAUREL COTTAGE,High,54.442926,-6.417565
SINTON'S MILL,High,,
FORMER POYNTZPASS PRIMARY SCHOOL RAILWAY STREET POYNTZPASS CO ARMAGH BT35 6SN ARMAGH,High,54.35028,-6.652792
MILL VIEW HOUSE,High,54.35028,-6.652792
FORMER BEETLING MILL,High,54.35028,-6.652792
THE WHITE HOUSE,High,54.292368,-6.847217
NORTH GATE LODGE,High,54.35028,-6.652792
FORMER LOCK HOUSE,High,54.35028,-6.652792
CORN AND FLAX MILLS,High,54.35028,-6.652792
41 KNAPPAGH ROAD,High,54.362013,-6.770466
23 DOBBIN ST. ,High,54.345866,-6.653503
355 NEWRY ROAD,High,54.174251,-6.339199
KILN,High,54.174251,-6.339199
FLAX MILL,High,54.174251,-6.339199
BELGIAN FLAX MILL,High,54.174251,-6.339199
CORN MILL,High,54.174251,-6.339199
3 OSBORNE PROMENADE,High,54.098002,-6.252462
11 CARDINAL O'FIAICH SQUARE,High,54.076964,-6.607821
7 CORRY’S SQUARE,High,54.178617,-6.341771
8 CORRY’S SQUARE,High,54.178617,-6.341771
12 SANDYS STREET,High,54.179088,-6.332973
S OF 16 ARDKEERAGH ROAD,High,54.174251,-6.339199
35 GRANSHA ROAD,High,54.246209,-6.203601
14 COYLES HILL ROAD,High,54.174251,-6.339199
TOWNSEND NATIONAL SCHOOL,High,54.174251,-6.339199
FORMER TRAM STATION,High,54.174251,-6.339199
72 DRUMLOUGH ROAD,High,54.174251,-6.339199
BALLAGH BRIDGE (OLD),High,54.174251,-6.339199
20 MAIN STREET,High,54.348729,-6.27048
40 MEETING STREET,High,54.412874,-6.148132
FORMER STATION HOUSE,High,54.327699,-5.715767
65 MILL HILL,High,54.260396,-5.93364
67 MILL HILL DUNDRINNE CASTLEWELLAN CO. DOWN BT31 9NB DOWN,High,54.327699,-5.715767
F.H.EBBITT FIELD STUDY CENTRE,High,54.327699,-5.715767
2-4 MAIN STREET,High,54.327699,-5.715767
LOWER FARM COURTYARD OFF DEMESNE ROAD,High,54.3071,-5.84162
2-4 MAIN STREET,High,54.327699,-5.715767
FINNEBROGUE ESTATE,High,54.328751,-5.715692
39 IRISH STREET,High,54.32835,-5.714976
ROSES LANE END,High,54.516246,-6.058011
OLD QUAKER MEETING HOUSE,High,54.516246,-6.058011
15 HOWE ROAD BALLYKEEL DROMORE COUNTY DOWN BT25 1ET LISBURN,High,54.516246,-6.058011
SEXTON'S HOUSE AT ST PATRICK'S RC CHURCH,High,54.516246,-6.058011
7 PARADE GROUND RANDALSTOWN ANTRIM,High,54.719534,-6.20725
MAIN GATE LODGE AND GATES TO LOUGHANMORE 53 LOUGHANMORE ROAD DUNADRY ANTRIM CO ANTRIM BT41 2HN ANTRIM,High,54.719534,-6.20725
PROTESTANT HALL,High,54.714504,-6.217732
IRON FOOTBRIDGE,High,54.719534,-6.20725
BEN NEAGH,High,54.719534,-6.20725
PRINCETOWN VILLA,High,54.327699,-5.715767
24 FERRY STREET,High,54.380405,-5.547791
38-40 SHORE ROAD,High,54.370324,-5.556035
25-27 MAIN STREET,High,54.488242,-5.534297
35 MAIN STREET,High,54.488478,-5.539604
37 MAIN STREET,High,54.488822,-5.537081
MANOR FARM,High,,
WATER TOWER,High,,
22-24 COURT STREET,High,54.591431,-5.695104
HOUSE TO NE OF 6 HILLSBOROUGH ROAD,High,,
GATE LODGE AT FLORIDA MANOR,High,,
STEWARD’S HOUSE,High,,
513-529 ORMEAU ROAD,High,54.570978,-5.915192
32 MCMASTER STREET,High,54.598519,-5.901237
33 MCMASTER STREET,High,54.599085,-5.901348
34 MCMASTER STREET,High,54.598442,-5.901151
37 MCMASTER STREET,High,54.599218,-5.901358
50 MCMASTER STREET,High,54.598068,-5.901204
52 MCMASTER STREET,High,54.599239,-5.901179
20 MCMASTER STREET,High,54.59843,-5.90112
23 MCMASTER STREET,High,54.598489,-5.901197
24 MCMASTER STREET,High,54.59872,-5.901252
27 MCMASTER STREET,High,54.598885,-5.901334
EAST GATE LODGE AT ORMISTON HOUSE 48 HAWTHORNDEN ROAD BELFAST CO DOWN BELFAST,High,54.597285,-5.93012
STABLE BLOCK (ORMISTON MEWS) ORMISTON HOUSE 50 HAWTHORNDEN ROAD BELFAST CO DOWN BT4 2GH BELFAST,High,54.60552,-5.864349
15 COLLEGE GARDENS,High,54.584198,-5.940814
19 COLLEGE GARDENS,High,54.584239,-5.939934
20 COLLEGE GARDENS,High,54.584065,-5.939904
21 COLLEGE GARDENS,High,54.583937,-5.939937
22 COLLEGE GARDENS,High,54.584213,-5.939854
GLENSIDE LODGE,High,54.624432,-5.98032
PUMP HOUSE,High,54.343829,-7.631873
ACCOMMODATION BRIDGE OVER NEWRY CANAL ,High,54.35028,-6.652792
LOCK HOUSE,High,54.516246,-6.058011
TIN VERNACULAR BUILDING,High,54.343829,-7.631873
ST MARY’S CHURCH (RC),High,55.045456,-6.933676
TOWN HALL (ALEXANDER MEMORIAL HALL),High,55.045456,-6.933676
28A STRABANE ROAD CASTLEDERG,High,54.708263,-7.588902
TRILLICK CASTLE OMAGH,High,54.469076,-7.493892
4 THE FOUNTAIN,High,54.992582,-7.322499
23-25 CARLISLE ROAD,High,54.993802,-7.319764
MILL AT BALNAMORE,High,55.06544,-6.56233
FORMER C OF I SCHOOL,High,55.070663,-6.51527
2-4 BRIDGE STREET,High,,
47-51 QUAY ROAD,High,55.204687,-6.240472
FARMHOUSE,High,54.597715,-7.30996
URBAN VERNACULAR HOUSE,High,54.343829,-7.631873
DANESFORT,High,54.343829,-7.631873
VERNACULAR COTTAGE,High,54.343829,-7.631873
ESTATE COTTAGE,High,54.343829,-7.631873
PERRY STREET,High,54.503298,-6.76635
AGHENIS CASTLE FARM,High,54.508273,-6.766935
AGHENIS CASTLE FARM,High,54.508273,-6.766935
26-30 THE SQUARE/2-3 CORNMARKET STREET,High,54.35028,-6.652792
53 DOWNPATRICK STREET,High,54.236699,-6.158667
3 NEWRY STREET,High,54.238227,-6.161351
NEW MILLS,High,54.327699,-5.715767
20 ENGLISH STREET,High,54.328939,-5.717177
1 NEW STREET,High,54.74864,-6.321381
1 BRIDGE STREET,High,54.714442,-6.219349
